Date,Subways: Total Estimated Ridership,Subways: % of Comparable Pre-Pandemic Day,Buses: Total Estimated Ridership,Buses: % of Comparable Pre-Pandemic Day,LIRR: Total Estimated Ridership,LIRR: % of Comparable Pre-Pandemic Day,Metro-North: Total Estimated Ridership,Metro-North: % of Comparable Pre-Pandemic Day,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % of Comparable Pre-Pandemic Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % of Comparable Pre-Pandemic Day,Staten Island Railway: Total Estimated Ridership,Staten Island Railway: % of Comparable Pre-Pandemic Day
03/21/2020,619618,0.2,989000,0.74,9624,0.09,23700,0.17,6467,0.38,382993,0.44,1044,0.21
03/20/2020,1309125,0.24,1072600,0.48,14656,0.05,145160,0.53,12744,0.43,563262,0.61,3124,0.2
03/19/2020,1422112,0.26,759700,0.34,14884,0.05,144466,0.52,14116,0.47,569696,0.62,3452,0.22
03/18/2020,1625280,0.29,577400,0.26,17991,0.06,146118,0.53,15942,0.54,634853,0.69,4133,0.26
03/17/2020,1788786,0.32,1044500,0.47,19979,0.06,147391,0.53,18173,0.61,650445,0.71,4573,0.29
03/16/2020,2178555,0.39,1087600,0.49,28810,0.09,153262,0.56,21145,0.71,708870,0.77,5741,0.36
03/15/2020,1157711,0.51,1075300,1.08,24525,0.28,32641,0.35,12480,0.71,535988,0.66,1368,0.43
03/14/2020,1670665,0.54,1060400,0.8,34730,0.32,39701,0.29,13394,0.79,631101,0.72,2135,0.42
03/13/2020,3484996,0.63,1074200,0.48,46464,0.15,167176,0.61,26640,0.9,860419,0.93,11769,0.74
03/12/2020,4149505,0.75,761600,0.34,49293,0.16,169548,0.61,30814,1.04,881188,0.96,14169,0.89
03/11/2020,4697122,0.84,585500,0.26,59054,0.19,175074,0.63,32198,1.08,866706,0.94,15340,0.96
03/10/2020,4867818,0.87,1021200,0.46,61990,0.2,179050,0.65,31315,1.05,855585,0.93,15805,0.99
03/09/2020,4973513,0.89,1061900,0.47,66875,0.21,183953,0.67,29609,1,860073,0.93,16122,1.01
03/08/2020,2120656,0.93,1093600,1.1,59879,0.69,60800,0.64,19477,1.11,765084,0.95,1672,0.53
03/07/2020,2814637,0.92,1070500,0.81,82062,0.76,75839,0.56,18117,1.07,827908,0.95,2445,0.48
03/06/2020,5189447,0.93,1077600,0.48,84726,0.27,205056,0.74,30970,1.04,945408,1.03,15285,0.96
03/05/2020,5496453,0.99,756300,0.34,76897,0.25,194387,0.7,33209,1.12,929298,1.01,17203,1.08
03/04/2020,5498809,0.99,586900,0.26,74878,0.24,192689,0.7,34297,1.15,905558,0.98,17136,1.07
03/03/2020,5481103,0.98,955300,0.43,76429,0.24,190648,0.69,32767,1.1,882175,0.96,17453,1.09
03/02/2020,5329915,0.96,1023100,0.46,77635,0.25,180702,0.66,30338,1.02,874620,0.95,17140,1.07
03/01/2020,2212965,0.97,1077000,1.08,,,55826,0.59,19922,1.13,786961,0.98,1636,0.52
